Rk,Date,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FTA,FT%,AST,PF,PTS,GmSc,+/-
57,2022-02-15,LAC,1,36:28,11,19,.579,3,6,.500,2,.500,4,3,26,19.7,+9
58,2022-02-16,HOU,1,43:13,7,22,.318,1,5,.200,9,1.000,8,3,24,18.1,-1
59,2022-02-24,OKC,1,38:11,9,16,.563,1,4,.250,6,1.000,12,1,25,28.9,+26
60,2022-02-25,NOP,1,36:59,10,24,.417,2,8,.250,8,1.000,5,3,30,18.8,-21
61,2022-02-27,UTA,1,39:41,12,24,.500,4,8,.500,4,.500,7,2,30,22.4,-6
66,2022-03-09,MIA,1,33:20,7,12,.583,4,7,.571,5,1.000,9,3,23,26.7,+31
67,2022-03-11,TOR,1,36:31,9,18,.500,3,7,.429,2,.500,7,3,22,15.9,-21
68,2022-03-13,LAL,1,31:59,12,25,.480,4,10,.400,2,1.000,10,4,30,25.3,+38
69,2022-03-15,NOP,1,29:57,11,20,.550,4,9,.444,1,1.000,8,2,27,23.7,+9
70,2022-03-16,HOU,1,36:27,15,24,.625,5,12,.417,1,1.000,4,2,36,26.1,+12
71,2022-03-18,CHI,1,32:12,10,18,.556,1,3,.333,7,1.000,3,3,28,18.9,+27
72,2022-03-20,SAC,1,37:22,11,21,.524,2,5,.400,7,1.000,5,6,31,21.9,+3
73,2022-03-23,MIN,1,35:13,7,15,.467,1,4,.250,16,.813,7,2,28,23.1,+4
74,2022-03-24,DEN,1,38:56,16,25,.640,2,5,.400,17,.882,10,3,49,45.8,+16
75,2022-03-27,PHI,1,34:56,13,22,.591,3,5,.600,8,.750,2,3,35,22.2,+7
76,2022-03-30,GSW,1,37:26,5,21,.238,2,8,.250,12,.833,2,4,22,9.8,+3
77,2022-04-01,MEM,1,37:15,17,28,.607,3,6,.500,5,.800,4,5,41,26.8,-5
79,2022-04-05,LAL,1,29:42,12,22,.545,6,9,.667,2,1.000,4,2,32,25.9,+14
81,2022-04-08,UTA,1,37:45,13,26,.500,2,5,.400,5,1.000,3,4,33,20.7,+11
1,2020-12-23,DAL,1,34:07,8,15,.533,2,6,.333,6,.667,3,4,22,9.9,+7
2,2020-12-26,SAC,1,38:15,10,21,.476,3,7,.429,3,1.000,3,5,26,10.3,+3
3,2020-12-27,SAC,1,35:17,8,19,.421,1,6,.167,4,.750,5,1,20,13.2,+16
5,2020-12-31,UTA,1,35:18,10,17,.588,1,2,.500,7,.571,7,3,25,15.2,-2
6,2021-01-01,DEN,1,34:55,9,17,.529,3,7,.429,2,.500,2,4,22,5.7,-13
7,2021-01-03,LAC,1,44:40,7,13,.538,1,3,.333,12,.833,8,2,25,22.6,+14
8,2021-01-06,TOR,1,34:36,6,14,.429,3,8,.375,10,.900,6,1,24,19.7,+2
9,2021-01-08,DET,1,37:55,8,18,.444,5,12,.417,4,.500,3,3,23,11.4,-17
10,2021-01-09,IND,1,36:05,9,19,.474,1,5,.200,6,1.000,7,3,25,21.9,+5
11,2021-01-11,WAS,1,32:46,11,21,.524,1,3,.333,10,1.000,0,4,33,22.7,-15
13,2021-01-20,HOU,1,34:32,10,18,.556,1,4,.250,4,.750,2,5,24,10.6,+8
14,2021-01-22,DEN,1,40:12,11,21,.524,3,9,.333,6,1.000,5,3,31,21.2,+10
19,2021-02-01,DAL,1,31:25,9,19,.474,4,8,.500,2,1.000,0,4,24,12.0,-1
20,2021-02-03,NOP,1,31:50,9,20,.450,0,4,.000,8,.875,2,1,25,13.4,-14
21,2021-02-05,DET,1,30:31,8,14,.571,3,7,.429,6,.667,2,5,23,13.6,+7
22,2021-02-07,BOS,1,37:43,7,16,.438,1,4,.250,3,1.000,11,2,18,17.3,+11
23,2021-02-08,CLE,1,34:38,14,27,.519,5,9,.556,4,.750,8,4,36,23.8,+8
