Rk,Date,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FTA,FT%,AST,PF,PTS,GmSc,+/-
10,2021-06-13,DEN,1,41:53,11,25,0.44,2,8,0.25,11,0.909,4,3,34,24.2,10
11,2021-06-20,LAC,1,43:56,15,29,0.517,3,7,0.429,7,1.0,11,3,40,34.5,6
12,2021-06-22,LAC,1,40:52,5,16,0.313,1,3,0.333,9,1.0,5,5,20,5.5,4
13,2021-06-24,LAC,1,40:05,5,21,0.238,1,7,0.143,4,1.0,5,4,15,3.1,-15
14,2021-06-26,LAC,1,38:17,8,22,0.364,0,5,0.0,11,0.818,0,6,25,7.2,5
15,2021-06-28,LAC,1,43:04,9,22,0.409,4,6,0.667,11,0.818,3,2,31,19.9,-10
16,2021-06-30,LAC,1,42:04,10,26,0.385,1,7,0.143,1,1.0,4,2,22,10.6,23
17,2021-07-06,MIL,1,41:53,8,21,0.381,1,8,0.125,10,1.0,6,3,27,19.1,18
19,2021-07-11,MIL,1,29:07,3,14,0.214,1,7,0.143,5,0.6,2,2,10,2.8,-13
20,2021-07-14,MIL,1,38:30,17,28,0.607,0,3,0.0,9,0.889,2,5,42,25.6,0
21,2021-07-17,MIL,1,41:32,17,33,0.515,2,4,0.5,5,0.8,3,5,40,25.7,12
22,2021-07-20,MIL,1,46:15,8,22,0.364,0,7,0.0,3,1.0,5,4,19,3.6,-15
